70.5296 	EXP 	page: autoDraw = True
70.5457 	EXP 	page: autoDraw = True
70.5960 	EXP 	page: autoDraw = True
70.6113 	EXP 	page: autoDraw = True
70.6270 	EXP 	page: autoDraw = True
70.6436 	EXP 	page: autoDraw = True
70.6613 	EXP 	page: autoDraw = True
70.7080 	EXP 	page: autoDraw = True
70.7269 	EXP 	page: autoDraw = True
70.7436 	EXP 	page: autoDraw = True
70.7608 	EXP 	page: autoDraw = True
70.7782 	EXP 	page: autoDraw = True
70.8450 	EXP 	page: autoDraw = True
70.8632 	EXP 	page: autoDraw = True
70.8806 	EXP 	page: autoDraw = True
70.9349 	EXP 	page: autoDraw = True
70.9612 	EXP 	page: autoDraw = True
70.9798 	EXP 	page: autoDraw = True
70.9963 	EXP 	page: autoDraw = True
71.0616 	EXP 	page: autoDraw = True
71.0812 	EXP 	page: autoDraw = True
71.1112 	EXP 	page: autoDraw = True
71.1613 	EXP 	page: autoDraw = True
71.1789 	EXP 	page: autoDraw = True
71.1947 	EXP 	page: autoDraw = True
71.2106 	EXP 	page: autoDraw = True
71.2276 	EXP 	page: autoDraw = True
71.2953 	EXP 	page: autoDraw = True
71.3114 	EXP 	page: autoDraw = True
71.3285 	EXP 	page: autoDraw = True
71.3460 	EXP 	page: autoDraw = True
71.3939 	EXP 	page: autoDraw = True
71.4115 	EXP 	page: autoDraw = True
71.4274 	EXP 	page: autoDraw = True
71.4436 	EXP 	page: autoDraw = True
71.4597 	EXP 	page: autoDraw = True
71.5103 	EXP 	page: autoDraw = True
71.5279 	EXP 	page: autoDraw = True
71.5444 	EXP 	page: autoDraw = True
71.5609 	EXP 	page: autoDraw = True
71.5784 	EXP 	page: autoDraw = True
71.6451 	EXP 	page: autoDraw = True
71.6776 	EXP 	page: autoDraw = True
71.6960 	EXP 	page: autoDraw = True
71.7444 	EXP 	page: autoDraw = True
71.7618 	EXP 	page: autoDraw = True
71.7793 	EXP 	page: autoDraw = True
71.7952 	EXP 	page: autoDraw = True
71.8111 	EXP 	page: autoDraw = True
71.8610 	EXP 	page: autoDraw = True
71.8784 	EXP 	page: autoDraw = True
71.8952 	EXP 	page: autoDraw = True
