58.6261 	EXP 	page: autoDraw = True
58.6418 	EXP 	page: autoDraw = True
58.6912 	EXP 	page: autoDraw = True
58.7087 	EXP 	page: autoDraw = True
58.7246 	EXP 	page: autoDraw = True
58.7416 	EXP 	page: autoDraw = True
58.7583 	EXP 	page: autoDraw = True
58.8083 	EXP 	page: autoDraw = True
58.8250 	EXP 	page: autoDraw = True
58.8422 	EXP 	page: autoDraw = True
58.8592 	EXP 	page: autoDraw = True
58.8760 	EXP 	page: autoDraw = True
58.9257 	EXP 	page: autoDraw = True
58.9425 	EXP 	page: autoDraw = True
58.9595 	EXP 	page: autoDraw = True
58.9757 	EXP 	page: autoDraw = True
58.9948 	EXP 	page: autoDraw = True
59.0594 	EXP 	page: autoDraw = True
59.0758 	EXP 	page: autoDraw = True
59.0925 	EXP 	page: autoDraw = True
59.1102 	EXP 	page: autoDraw = True
59.1584 	EXP 	page: autoDraw = True
59.1746 	EXP 	page: autoDraw = True
59.1916 	EXP 	page: autoDraw = True
59.2093 	EXP 	page: autoDraw = True
59.2266 	EXP 	page: autoDraw = True
59.2752 	EXP 	page: autoDraw = True
59.2762 	DATA 	Mouse: Left button down, pos=(486,203)
59.2952 	EXP 	page: autoDraw = True
59.2952 	EXP 	stim6: color = '[0.1  0.1  0.25] (rgb)'
59.3127 	EXP 	page: autoDraw = True
59.3421 	EXP 	page: autoDraw = True
59.3437 	DATA 	Mouse:  Left button up, pos=(486,203)
59.4093 	EXP 	page: autoDraw = True
59.4264 	EXP 	page: autoDraw = True
59.4432 	EXP 	page: autoDraw = True
59.4589 	EXP 	page: autoDraw = True
59.5259 	EXP 	page: autoDraw = True
59.5422 	EXP 	page: autoDraw = True
59.5591 	EXP 	page: autoDraw = True
59.5758 	EXP 	page: autoDraw = True
59.6427 	EXP 	page: autoDraw = True
59.6590 	EXP 	page: autoDraw = True
59.6756 	EXP 	page: autoDraw = True
59.6924 	EXP 	page: autoDraw = True
59.7596 	EXP 	page: autoDraw = True
59.7761 	EXP 	page: autoDraw = True
59.7960 	EXP 	page: autoDraw = True
59.8127 	EXP 	page: autoDraw = True
59.8591 	EXP 	page: autoDraw = True
59.8763 	EXP 	page: autoDraw = True
59.8926 	EXP 	page: autoDraw = True
59.9104 	EXP 	page: autoDraw = True
59.9268 	EXP 	page: autoDraw = True
59.9753 	EXP 	page: autoDraw = True
59.9925 	EXP 	page: autoDraw = True
60.0096 	EXP 	page: autoDraw = True
60.0286 	EXP 	page: autoDraw = True
60.0455 	EXP 	page: autoDraw = True
60.0917 	EXP 	page: autoDraw = True
60.1091 	EXP 	page: autoDraw = True
60.1263 	EXP 	page: autoDraw = True
60.1437 	EXP 	page: autoDraw = True
60.1607 	EXP 	page: autoDraw = True
60.2090 	EXP 	page: autoDraw = True
60.2266 	EXP 	page: autoDraw = True
60.2433 	EXP 	page: autoDraw = True
60.2441 	DATA 	Mouse: Left button down, pos=(496,696)
60.2620 	EXP 	page: autoDraw = True
60.2620 	EXP 	stim4: color = '[0.1  0.1  0.25] (rgb)'
60.2805 	EXP 	page: autoDraw = True
60.3257 	EXP 	page: autoDraw = True
60.3423 	EXP 	page: autoDraw = True
60.3432 	DATA 	Mouse:  Left button up, pos=(496,696)
60.3595 	EXP 	page: autoDraw = True
60.3758 	EXP 	page: autoDraw = True
60.3939 	EXP 	page: autoDraw = True
60.4423 	EXP 	page: autoDraw = True
60.4595 	EXP 	page: autoDraw = True
60.4763 	EXP 	page: autoDraw = True
60.4934 	EXP 	page: autoDraw = True
60.5119 	EXP 	page: autoDraw = True
60.5762 	EXP 	page: autoDraw = True
60.5932 	EXP 	page: autoDraw = True
60.6124 	EXP 	page: autoDraw = True
60.6707 	EXP 	page: autoDraw = True
60.6922 	EXP 	page: autoDraw = True
60.7104 	EXP 	page: autoDraw = True
60.7278 	EXP 	page: autoDraw = True
60.7452 	EXP 	page: autoDraw = True
60.7922 	EXP 	page: autoDraw = True
60.8096 	EXP 	page: autoDraw = True
60.8268 	EXP 	page: autoDraw = True
60.8422 	EXP 	page: autoDraw = True
60.8583 	EXP 	page: autoDraw = True
60.9049 	EXP 	page: autoDraw = True
60.9256 	EXP 	page: autoDraw = True
60.9433 	EXP 	page: autoDraw = True
60.9599 	EXP 	page: autoDraw = True
60.9766 	EXP 	page: autoDraw = True
61.0251 	EXP 	page: autoDraw = True
61.0421 	EXP 	page: autoDraw = True
61.0587 	EXP 	page: autoDraw = True
61.0758 	EXP 	page: autoDraw = True
61.0927 	EXP 	page: autoDraw = True
