33.7679 	EXP 	page: autoDraw = True
33.8348 	EXP 	page: autoDraw = True
33.8512 	EXP 	page: autoDraw = True
33.8696 	EXP 	page: autoDraw = True
33.9289 	EXP 	page: autoDraw = True
33.9512 	EXP 	page: autoDraw = True
33.9710 	EXP 	page: autoDraw = True
34.0016 	EXP 	page: autoDraw = True
34.0514 	EXP 	page: autoDraw = True
34.0689 	EXP 	page: autoDraw = True
34.0856 	EXP 	page: autoDraw = True
34.1018 	EXP 	page: autoDraw = True
34.1192 	EXP 	page: autoDraw = True
34.1677 	EXP 	page: autoDraw = True
34.1849 	EXP 	page: autoDraw = True
34.2021 	EXP 	page: autoDraw = True
34.2209 	EXP 	page: autoDraw = True
34.2378 	EXP 	page: autoDraw = True
34.2841 	EXP 	page: autoDraw = True
34.3019 	EXP 	page: autoDraw = True
34.3187 	EXP 	page: autoDraw = True
34.3344 	EXP 	page: autoDraw = True
34.3525 	EXP 	page: autoDraw = True
34.4010 	EXP 	page: autoDraw = True
34.4170 	EXP 	page: autoDraw = True
34.4336 	EXP 	page: autoDraw = True
34.4497 	EXP 	page: autoDraw = True
34.4663 	EXP 	page: autoDraw = True
34.5171 	EXP 	page: autoDraw = True
34.5338 	EXP 	page: autoDraw = True
34.5504 	EXP 	page: autoDraw = True
34.5688 	EXP 	page: autoDraw = True
34.5850 	EXP 	page: autoDraw = True
34.6336 	EXP 	page: autoDraw = True
34.6505 	EXP 	page: autoDraw = True
34.6669 	EXP 	page: autoDraw = True
34.6854 	EXP 	page: autoDraw = True
34.7032 	EXP 	page: autoDraw = True
34.7502 	EXP 	page: autoDraw = True
34.7665 	EXP 	page: autoDraw = True
34.7831 	EXP 	page: autoDraw = True
34.8002 	EXP 	page: autoDraw = True
34.8159 	EXP 	page: autoDraw = True
34.8667 	EXP 	page: autoDraw = True
34.8831 	EXP 	page: autoDraw = True
34.9000 	EXP 	page: autoDraw = True
34.9167 	EXP 	page: autoDraw = True
34.9330 	EXP 	page: autoDraw = True
34.9836 	EXP 	page: autoDraw = True
35.0005 	EXP 	page: autoDraw = True
35.0168 	EXP 	page: autoDraw = True
35.0341 	EXP 	page: autoDraw = True
35.0520 	EXP 	page: autoDraw = True
35.1184 	EXP 	page: autoDraw = True
35.1350 	EXP 	page: autoDraw = True
35.1536 	EXP 	page: autoDraw = True
35.2106 	EXP 	page: autoDraw = True
35.2346 	EXP 	page: autoDraw = True
35.2519 	EXP 	page: autoDraw = True
35.2682 	EXP 	page: autoDraw = True
35.2872 	EXP 	page: autoDraw = True
